,timestamp,user,tweet,lat,lon,lang_langid,lang_langdetect,lang_textblob
1626,2020-07-25 18:33:27-05:00,@Carlos__Lara,"A ver qué... 🍌💦🤤😏 (@ Áreas Verdes del Metro in Tampico, Tamaulipas) https://t.co/dFbXrZxGBE",22.236353,-97.85269,la,es,es
1645,2020-07-25 19:00:27-05:00,@OSCARLSAUCEDOH,Sigan 👉 gaboniprofessional #gaboni #gaboniprofessional #mexico #tamaulipas #tampico #tampicomadero #mexico🇲🇽… https://t.co/HCET1vyuXr,22.264406,-97.78519,eo,es,es
1751,2020-07-25 20:55:42-05:00,@rufinoaguilera,Buenas noches 🌙  Agradezcamos por este día ✝️ Y oremos para que cesen los enfermos y los decesos. 🙏🏻 en Ciudad Made… https://t.co/VLD4okeWlp,22.2667,-97.8333,es,es,es
1755,2020-07-25 20:57:16-05:00,@bronnyk,Acaba de publicar una foto en Tampico https://t.co/usLkvI2Mvd,22.2553,-97.8686,es,es,es
1938,2020-07-26 14:23:10-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/zXxIrg74gB,22.233395,-97.83965,es,en,en
1944,2020-07-26 14:26:41-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/Yu4swxMxoR,22.233395,-97.83965,es,en,en
1948,2020-07-26 14:29:05-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/KmquFKAUoF,22.233395,-97.83965,es,en,en
1954,2020-07-26 14:31:25-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/LAoSOhqY8a,22.233395,-97.83965,es,en,en
1961,2020-07-26 14:35:09-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/VxLxBy527y,22.233395,-97.83965,es,en,en
1964,2020-07-26 14:37:56-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/zOdxWywClt,22.233395,-97.83965,es,es,en
1965,2020-07-26 14:39:36-05:00,@FernyCastilla,#fecarosalon #balayage #degradado #hair #hairstyle #cool #love #blondehair #lovemyjob #davines #wella #loreal… https://t.co/TGRNG1MTjr,22.233395,-97.83965,es,en,en
2005,2020-08-20 14:33:56-05:00,@OSCARLSAUCEDOH,restauranteelflaco #cdmadero #video #youtube 👉 OSCARLSH #ostiones #mariscos #camarones  #ostionesensuconcha #madero… https://t.co/2YaaL0HyjL,22.25297,-97.84775,es,es,es
